image_id,text,image_path
a01-007-02,"111 of|the|House|of|Lords|,|but|while|it|remains",datasets/iam/lines/a01/a01-007/a01-007-02.png
a01-007-03,133 Labour|has|to|have|an|adequate|number|of,datasets/iam/lines/a01/a01-007/a01-007-03.png
a01-007-04,66 members|.,datasets/iam/lines/a01/a01-007/a01-007-04.png
a01-007-00,90 THE|two|rival|African|Nationalist,datasets/iam/lines/a01/a01-007/a01-007-00.png
a01-007-01,129 Parties|of|Northern|Rhodesia|have|agreed|to,datasets/iam/lines/a01/a01-007/a01-007-01.png
a01-007-02,135 get|together|to|face|the|challenge|from|Sir,datasets/iam/lines/a01/a01-007/a01-007-02.png
a01-007-03,"122 Roy|Welensky|,|the|Federal|Premier|.",datasets/iam/lines/a01/a01-007/a01-007-03.png
a01-007u-00,"92 Since|1958|,|13|Labour|life|Peers|and",datasets/iam/lines/a01/a01-007u/a01-007u-00.png
a01-007u-01,59 Peeresses|have|been|created|.,datasets/iam/lines/a01/a01-007u/a01-007u-01.png
a01-007u-00,65 Most|Labour,datasets/iam/lines/a01/a01-007u/a01-007u-00.png
a01-007u-01,78 sentiment|would|still|favour|the|abolition,datasets/iam/lines/a01/a01-007u/a01-007u-01.png
a01-007u-02,"93 of|the|House|of|Lords|,|but|while|it|remains",datasets/iam/lines/a01/a01-007u/a01-007u-02.png
a01-007u-03,88 Labour|has|to|have|an|adequate|number,datasets/iam/lines/a01/a01-007u/a01-007u-03.png
a01-007u-04,79 of|members|.,datasets/iam/lines/a01/a01-007u/a01-007u-04.png
a01-007u-00,68 THE|two|rival|African,datasets/iam/lines/a01/a01-007u/a01-007u-00.png
a01-007u-01,77 Nationalist|Parties|of|Northern|Rhodesia,datasets/iam/lines/a01/a01-007u/a01-007u-01.png
a01-007u-02,91 have|agreed|to|get|together|to|face,datasets/iam/lines/a01/a01-007u/a01-007u-02.png
a01-007u-03,"109 the|challenge|from|Sir|Roy|Welensky|,",datasets/iam/lines/a01/a01-007u/a01-007u-03.png
a01-007u-04,74 the|Federal|Premier|.,datasets/iam/lines/a01/a01-007u/a01-007u-04.png
a01-007x-00,"152 Since|1958|,|13|Labour|life|Peers|and|#",datasets/iam/lines/a01/a01-007x/a01-007x-00.png
a01-007x-01,101 Peeresses|have|been|created|.,datasets/iam/lines/a01/a01-007x/a01-007x-01.png
a01-007x-00,95 Most|Labour|sentiment,datasets/iam/lines/a01/a01-007x/a01-007x-00.png
a01-007x-01,173 would|still|favour|the|abolition|of|the|House,datasets/iam/lines/a01/a01-007x/a01-007x-01.png
a01-007x-02,"147 of|Lords|,|but|while|it|remains|Labour|has|to",datasets/iam/lines/a01/a01-007x/a01-007x-02.png
a01-007x-03,147 have|an|adequate|number|of|members|.,datasets/iam/lines/a01/a01-007x/a01-007x-03.png
a01-007x-00,80 THE,datasets/iam/lines/a01/a01-007x/a01-007x-00.png
a01-007x-01,143 two|rival|African|Nationalist|Parties|of|Northern,datasets/iam/lines/a01/a01-007x/a01-007x-01.png
a01-007x-02,162 Rhodesia|have|agreed|to|get|together|to|face|the,datasets/iam/lines/a01/a01-007x/a01-007x-02.png
a01-007x-03,"182 challenge|from|Sir|Roy|Welensky|,|the|Federal|Premier|.",datasets/iam/lines/a01/a01-007x/a01-007x-03.png
a01-011-00,96 Delegates|from|Mr.|Kenneth|Kaunda's|United|National|Independence,datasets/iam/lines/a01/a01-011/a01-011-00.png
a01-011-01,"109 Party|(|280,000|members|)|and|Mr.|Harry|Nkumbula's|African",datasets/iam/lines/a01/a01-011/a01-011-01.png
a01-011-02,"104 National|Congress|(|400,000|)|will|meet|in|London|today",datasets/iam/lines/a01/a01-011/a01-011-02.png
a01-011-03,89 to|discuss|a|common|course|of|action|.,datasets/iam/lines/a01/a01-011/a01-011-03.png
a01-011-00,111 Sir|Roy|is,datasets/iam/lines/a01/a01-011/a01-011-00.png
a01-011-01,108 violently|opposed|to|Africans|getting|an|elected|majority,datasets/iam/lines/a01/a01-011/a01-011-01.png
a01-011-02,"106 in|Northern|Rhodesia|,|but|the|Colonial|Secretary|,",datasets/iam/lines/a01/a01-011/a01-011-02.png
a01-011-03,"112 Mr.|Iain|Macleod|,|is|insisting|on|a|policy|of|change|.",datasets/iam/lines/a01/a01-011/a01-011-03.png
a01-011u-00,117 Delegates|from|Mr.|Kenneth|Kaunda's,datasets/iam/lines/a01/a01-011u/a01-011u-00.png
a01-011u-01,87 United|National|Independence|Party,datasets/iam/lines/a01/a01-011u/a01-011u-01.png
a01-011u-02,"114 (|280,000|members|)|and|Mr.|Harry|Nkumbula's",datasets/iam/lines/a01/a01-011u/a01-011u-02.png
a01-011u-03,"98 African|National|Congress|(|400,000|)|will",datasets/iam/lines/a01/a01-011u/a01-011u-03.png
a01-011u-04,79 meet|in|London|today|to|discuss|a|common,datasets/iam/lines/a01/a01-011u/a01-011u-04.png
a01-011u-05,75 course|of|action|.,datasets/iam/lines/a01/a01-011u/a01-011u-05.png
a01-011u-00,118 Sir|Roy|is|violently,datasets/iam/lines/a01/a01-011u/a01-011u-00.png
a01-011u-01,100 opposed|to|Africans|getting|an|elected,datasets/iam/lines/a01/a01-011u/a01-011u-01.png
a01-011u-02,"111 majority|in|Northern|Rhodesia|,|but|the",datasets/iam/lines/a01/a01-011u/a01-011u-02.png
a01-011u-03,"84 Colonial|Secretary|,|Mr.|Iain|Macleod|,",datasets/iam/lines/a01/a01-011u/a01-011u-03.png
a01-011u-04,106 is|insisting|on|a|policy|of|change|.,datasets/iam/lines/a01/a01-011u/a01-011u-04.png
a01-011x-00,148 Delegates|from|Mr.|Kenneth|Kaunda's|United,datasets/iam/lines/a01/a01-011x/a01-011x-00.png
a01-011x-01,"131 National|Independence|Party|(|280,000|members|)",datasets/iam/lines/a01/a01-011x/a01-011x-01.png
a01-011x-02,107 and|Mr.|Harry|Nkumbula's|African|National,datasets/iam/lines/a01/a01-011x/a01-011x-02.png
a01-011x-03,"160 Congress|(|400,000|)|will|meet|in|London|today",datasets/iam/lines/a01/a01-011x/a01-011x-03.png
a01-011x-04,101 to|discuss|a|common|course|of|action|.,datasets/iam/lines/a01/a01-011x/a01-011x-04.png
a01-011x-00,140 Sir|Roy|is|violently|opposed|to|Africans,datasets/iam/lines/a01/a01-011x/a01-011x-00.png
a01-011x-01,191 getting|an|elected|majority|in|Northern,datasets/iam/lines/a01/a01-011x/a01-011x-01.png
a01-011x-02,"194 Rhodesia|,|but|the|Colonial|Secretary|,|Mr.|Iain",datasets/iam/lines/a01/a01-011x/a01-011x-02.png
a01-011x-03,"200 Macleod|,|is|insisting|on|a|policy|of|change|.",datasets/iam/lines/a01/a01-011x/a01-011x-03.png
a01-014-00,117 Sir|Roy's|United|Federal|Party|is|boycotting,datasets/iam/lines/a01/a01-014/a01-014-00.png
a01-014-01,83 the|London|talks|on|the|Protectorate's,datasets/iam/lines/a01/a01-014/a01-014-01.png
a01-014-02,116 future|.,datasets/iam/lines/a01/a01-014/a01-014-02.png
a01-014-00,114 Said|Mr.|Nkumbula|last|night|:,datasets/iam/lines/a01/a01-014/a01-014-00.png
a01-014-00,"130 ""|We|want|to|discuss|what|to|do|if|the",datasets/iam/lines/a01/a01-014/a01-014-00.png
a01-014-01,130 British|Government|gives|in|to|Sir|Roy|and,datasets/iam/lines/a01/a01-014/a01-014-01.png
a01-014-02,120 the|talks|fall|through|.,datasets/iam/lines/a01/a01-014/a01-014-02.png
a01-014-00,75 There|are|bound,datasets/iam/lines/a01/a01-014/a01-014-00.png
a01-014-01,"106 to|be|demonstrations|.|""",datasets/iam/lines/a01/a01-014/a01-014-01.png
a01-014-00,123 Yesterday|Sir|Roy's,datasets/iam/lines/a01/a01-014/a01-014-00.png
a01-014-01,"146 chief|aide|,|Mr.|Julius|Greenfield|,|telephoned",datasets/iam/lines/a01/a01-014/a01-014-01.png
a01-014-02,148 his|chief|a|report|on|his|talks|with,datasets/iam/lines/a01/a01-014/a01-014-02.png
a01-014-03,155 Mr.|Macmillan|at|Chequers|.,datasets/iam/lines/a01/a01-014/a01-014-03.png
a01-014u-00,117 Sir|Roy's|United|Federal|Party|is,datasets/iam/lines/a01/a01-014u/a01-014u-00.png
a01-014u-01,112 boycotting|the|London|talks|on|the,datasets/iam/lines/a01/a01-014u/a01-014u-01.png
a01-014u-02,77 Protectorate's|future|.,datasets/iam/lines/a01/a01-014u/a01-014u-02.png
a01-014u-00,71 Said|Mr.|Nkumbula,datasets/iam/lines/a01/a01-014u/a01-014u-00.png
a01-014u-01,84 last|night|:,datasets/iam/lines/a01/a01-014u/a01-014u-01.png
a01-014u-00,"75 ""|We|want|to|discuss|what|to",datasets/iam/lines/a01/a01-014u/a01-014u-00.png
a01-014u-01,70 do|if|the|British,datasets/iam/lines/a01/a01-014u/a01-014u-01.png
a01-014u-00,"69 demonstrations|.|""",datasets/iam/lines/a01/a01-014u/a01-014u-00.png
a01-014u-00,"98 Yesterday|Sir|Roy's|chief|aide|,|Mr.",datasets/iam/lines/a01/a01-014u/a01-014u-00.png
a01-014u-01,"100 Julius|Greenfield|,|telephoned|his|chief",datasets/iam/lines/a01/a01-014u/a01-014u-01.png
a01-014u-02,70 a|report|on|his|talks|with|Mr.|Macmillan,datasets/iam/lines/a01/a01-014u/a01-014u-02.png
a01-014u-03,68 at|Chequers|.,datasets/iam/lines/a01/a01-014u/a01-014u-03.png
a01-014x-00,188 Sir|Roy's|United|Federal|Party|is|boycotting,datasets/iam/lines/a01/a01-014x/a01-014x-00.png
a01-014x-01,97 the|London|talks|on|the|Protectorate's,datasets/iam/lines/a01/a01-014x/a01-014x-01.png
a01-014x-02,159 future|.,datasets/iam/lines/a01/a01-014x/a01-014x-02.png
a01-014x-00,149 Said|Mr.|Nkumbula|last|night|:,datasets/iam/lines/a01/a01-014x/a01-014x-00.png
a01-014x-00,"162 ""|We|want|to|discuss|what|to|do|if|the",datasets/iam/lines/a01/a01-014x/a01-014x-00.png
a01-014x-01,188 British|Government|gives|in|to|Sir|Roy,datasets/iam/lines/a01/a01-014x/a01-014x-01.png
a01-014x-02,163 and|the|talks|fall|through|.,datasets/iam/lines/a01/a01-014x/a01-014x-02.png
a01-014x-00,87 There|are|bound,datasets/iam/lines/a01/a01-014x/a01-014x-00.png
a01-014x-01,"121 to|be|demonstrations|.|""",datasets/iam/lines/a01/a01-014x/a01-014x-01.png
a01-014x-00,193 Yesterday|Sir|Roy's,datasets/iam/lines/a01/a01-014x/a01-014x-00.png
a01-014x-01,"168 chief|aide|,|Mr.|Julius|Greenfield|,|telephoned",datasets/iam/lines/a01/a01-014x/a01-014x-01.png
a01-014x-02,146 his|chief|a|report|on|his|talks|with|Mr.,datasets/iam/lines/a01/a01-014x/a01-014x-02.png
a01-014x-03,164 Macmillan|at|Chequers|.,datasets/iam/lines/a01/a01-014x/a01-014x-03.png
a01-020-00,86 Mr.|Macleod|went|on|with|the|conference|at,datasets/iam/lines/a01/a01-020/a01-020-00.png
a01-020-01,93 Lancaster|House|despite|the|crisis|which|had,datasets/iam/lines/a01/a01-020/a01-020-01.png
a01-020-02,79 blown|up|.,datasets/iam/lines/a01/a01-020/a01-020-02.png
a01-020-00,85 He|has|now|revealed|his|full|plans,datasets/iam/lines/a01/a01-020/a01-020-00.png
a01-020-01,122 to|the|Africans|and|Liberals|attending|.,datasets/iam/lines/a01/a01-020/a01-020-01.png
a01-020-00,76 These,datasets/iam/lines/a01/a01-020/a01-020-00.png
a01-020-01,114 plans|do|not|give|the|Africans|the|overall,datasets/iam/lines/a01/a01-020/a01-020-01.png
a01-020-02,124 majority|they|are|seeking|.,datasets/iam/lines/a01/a01-020/a01-020-02.png
a01-020-00,100 African|delegates,datasets/iam/lines/a01/a01-020/a01-020-00.png
a01-020-01,128 are|studying|them|today|.,datasets/iam/lines/a01/a01-020/a01-020-01.png
a01-020-00,91 The|conference,datasets/iam/lines/a01/a01-020/a01-020-00.png
a01-020-01,88 will|meet|to|discuss|the|function|of|a,datasets/iam/lines/a01/a01-020/a01-020-01.png
a01-020-02,91 proposed|House|of|Chiefs|.,datasets/iam/lines/a01/a01-020/a01-020-02.png
a01-020u-00,77 Mr.|Macleod|went|on|with|the|conference,datasets/iam/lines/a01/a01-020u/a01-020u-00.png
a01-020u-01,84 at|Lancaster|House|despite|the|crisis,datasets/iam/lines/a01/a01-020u/a01-020u-01.png
a01-020u-02,59 which|had|blown|up|.,datasets/iam/lines/a01/a01-020u/a01-020u-02.png
a01-020u-00,57 He|has|now|revealed,datasets/iam/lines/a01/a01-020u/a01-020u-00.png
a01-020u-01,74 his|full|plans|to|the|Africans|and|Liberals,datasets/iam/lines/a01/a01-020u/a01-020u-01.png
a01-020u-02,93 attending|.,datasets/iam/lines/a01/a01-020u/a01-020u-02.png
a01-020u-00,79 These|plans|do|not|give|the,datasets/iam/lines/a01/a01-020u/a01-020u-00.png
a01-020u-01,95 Africans|the|overall|majority|they|are,datasets/iam/lines/a01/a01-020u/a01-020u-01.png
a01-020u-02,99 seeking|.,datasets/iam/lines/a01/a01-020u/a01-020u-02.png
a01-020u-00,100 African|delegates|are|studying,datasets/iam/lines/a01/a01-020u/a01-020u-00.png
a01-020u-01,84 them|today|.,datasets/iam/lines/a01/a01-020u/a01-020u-01.png
a01-020u-00,69 The|conference|will|meet,datasets/iam/lines/a01/a01-020u/a01-020u-00.png
a01-020u-01,79 to|discuss|the|function|of|a|proposed,datasets/iam/lines/a01/a01-020u/a01-020u-01.png
a01-020u-02,79 House|of|Chiefs|.,datasets/iam/lines/a01/a01-020u/a01-020u-02.png
a01-020x-00,103 Mr.|Macleod|went|on|with|the|conference|at,datasets/iam/lines/a01/a01-020x/a01-020x-00.png
a01-020x-01,98 Lancaster|House|despite|the|crisis|which|had,datasets/iam/lines/a01/a01-020x/a01-020x-01.png
a01-020x-02,87 blown|up|.,datasets/iam/lines/a01/a01-020x/a01-020x-02.png
a01-020x-00,93 He|has|now|revealed|his|full|plans,datasets/iam/lines/a01/a01-020x/a01-020x-00.png
a01-020x-01,103 to|the|Africans|and|Liberals|attending|.,datasets/iam/lines/a01/a01-020x/a01-020x-01.png
a01-020x-00,72 These,datasets/iam/lines/a01/a01-020x/a01-020x-00.png
a01-020x-01,102 plans|do|not|give|the|Africans|the|overall|majo-,datasets/iam/lines/a01/a01-020x/a01-020x-01.png
a01-020x-02,100 rity|they|are|seeking|.,datasets/iam/lines/a01/a01-020x/a01-020x-02.png
a01-020x-00,99 African|delegates|are,datasets/iam/lines/a01/a01-020x/a01-020x-00.png
a01-020x-01,103 studying|them|today|.,datasets/iam/lines/a01/a01-020x/a01-020x-01.png
a01-020x-00,85 The|conference|will|meet,datasets/iam/lines/a01/a01-020x/a01-020x-00.png
a01-020x-01,113 to|discuss|the|function|of|a|proposed|House,datasets/iam/lines/a01/a01-020x/a01-020x-01.png
a01-020x-02,93 of|Chiefs|.,datasets/iam/lines/a01/a01-020x/a01-020x-02.png
a01-026-00,"110 MR.|IAIN|MACLEOD|,|the|Colonial|Secretary|,|denied",datasets/iam/lines/a01/a01-026/a01-026-00.png
a01-026-01,88 in|the|Commons|last|night|that|there|have|been,datasets/iam/lines/a01/a01-026/a01-026-01.png
a01-026-02,102 secret|negotiations|on|Northern|Rhodesia's|future|.,datasets/iam/lines/a01/a01-026/a01-026-02.png
a01-026-00,92 The|Northern|Rhodesia|conference|in|London|has,datasets/iam/lines/a01/a01-026/a01-026-00.png
a01-026-01,97 been|boycotted|by|the|two|main|settlers'|parties|-,datasets/iam/lines/a01/a01-026/a01-026-01.png
a01-026-02,112 the|United|Federal|Party|and|the|Dominion|Party|.,datasets/iam/lines/a01/a01-026/a01-026-02.png
a01-026-00,"104 But|representatives|of|Sir|Roy|Welensky|,|Prime",datasets/iam/lines/a01/a01-026/a01-026-00.png
a01-026-01,"90 Minister|of|the|Central|African|Federation|,|went",datasets/iam/lines/a01/a01-026/a01-026-01.png
a01-026-02,92 to|Chequers|at|the|week-end|for|talks|with,datasets/iam/lines/a01/a01-026/a01-026-02.png
a01-026-03,63 Mr.|Macmillan|.,datasets/iam/lines/a01/a01-026/a01-026-03.png
a01-026u-00,"99 MR.|IAIN|MACLEOD|,|the|Colonial|Secretary|,",datasets/iam/lines/a01/a01-026u/a01-026u-00.png
a01-026u-01,79 denied|in|the|Commons|last|night|that,datasets/iam/lines/a01/a01-026u/a01-026u-01.png
a01-026u-02,78 there|have|been|secret|negotiations|on,datasets/iam/lines/a01/a01-026u/a01-026u-02.png
a01-026u-03,83 Northern|Rhodesia's|future|.,datasets/iam/lines/a01/a01-026u/a01-026u-03.png
a01-026u-00,73 The|Northern,datasets/iam/lines/a01/a01-026u/a01-026u-00.png
a01-026u-01,81 Rhodesia|conference|in|London|has|been,datasets/iam/lines/a01/a01-026u/a01-026u-01.png
a01-026u-02,112 boycotted|by|the|two|main|settlers'|parties|-,datasets/iam/lines/a01/a01-026u/a01-026u-02.png
a01-026u-03,96 the|United|Federal|Party|and|the|Dominion,datasets/iam/lines/a01/a01-026u/a01-026u-03.png
a01-026u-04,90 Party|.,datasets/iam/lines/a01/a01-026u/a01-026u-04.png
a01-026u-00,104 But|representatives|of|Sir|Roy,datasets/iam/lines/a01/a01-026u/a01-026u-00.png
a01-026u-01,"89 Welensky|,|Prime|Minister|of|the|Central",datasets/iam/lines/a01/a01-026u/a01-026u-01.png
a01-026u-02,"108 African|Federation|,|went|to|Chequers|at",datasets/iam/lines/a01/a01-026u/a01-026u-02.png
a01-026u-03,93 the|week-end|for|talks|with|Mr.|Macmillan|.,datasets/iam/lines/a01/a01-026u/a01-026u-03.png
a01-026x-00,"187 Mr.|Iain|Macleod|,|the|Colonial|Secretary|,|denied",datasets/iam/lines/a01/a01-026x/a01-026x-00.png
a01-026x-01,153 in|the|Commons|last|night|that|there|have,datasets/iam/lines/a01/a01-026x/a01-026x-01.png
a01-026x-02,153 been|secret|negotiations|on|the|Northern|Rhodesia's,datasets/iam/lines/a01/a01-026x/a01-026x-02.png
a01-026x-03,155 future|.,datasets/iam/lines/a01/a01-026x/a01-026x-03.png
a01-026x-00,155 The|Northern|Rhodesia|conference|in,datasets/iam/lines/a01/a01-026x/a01-026x-00.png
a01-026x-01,216 London|has|been|boycotted|by|the|two|main,datasets/iam/lines/a01/a01-026x/a01-026x-01.png
a01-026x-02,176 settlers'|parties|-|the|United|Federal|Party,datasets/iam/lines/a01/a01-026x/a01-026x-02.png
a01-026x-03,170 and|the|Dominion|Party|.,datasets/iam/lines/a01/a01-026x/a01-026x-03.png
a01-026x-00,139 But|representatives,datasets/iam/lines/a01/a01-026x/a01-026x-00.png
a01-026x-01,"191 of|Sir|Roy|Welensky|,|Prime|Minister|of|the",datasets/iam/lines/a01/a01-026x/a01-026x-01.png
a01-026x-02,"166 Central|African|Federation|,|went|to|Chequers",datasets/iam/lines/a01/a01-026x/a01-026x-02.png
a01-026x-03,120 at|the|week-end|for|talks|with|Mr.|Macmillan|.,datasets/iam/lines/a01/a01-026x/a01-026x-03.png
a01-030-00,78 Northern|Rhodesia|is|a|member|of|the|Federation|.,datasets/iam/lines/a01/a01-030/a01-030-00.png
a01-030-00,99 Mr.|Macleod|was|not|at|the|week-end|meeting|.,datasets/iam/lines/a01/a01-030/a01-030-00.png
a01-030-00,74 But|he|told,datasets/iam/lines/a01/a01-030/a01-030-00.png
a01-030-01,92 M Ps|yesterday|:,datasets/iam/lines/a01/a01-030/a01-030-01.png
a01-030-00,"94 ""|I|have|no|knowledge|of|secret|negotiations|.|""",datasets/iam/lines/a01/a01-030/a01-030-00.png
a01-030-00,96 He|said|Britain|had|an|obligation|to|consult|the|Federal,datasets/iam/lines/a01/a01-030/a01-030-00.png
a01-030-01,80 Government|.,datasets/iam/lines/a01/a01-030/a01-030-01.png
a01-030-00,94 But|the|final|decision|remained|with|the|British,datasets/iam/lines/a01/a01-030/a01-030-00.png
a01-030-01,103 Government|.,datasets/iam/lines/a01/a01-030/a01-030-01.png
a01-030-00,"106 Mr.|James|Callaghan|,|Labour's|Colonial|spokesman|,",datasets/iam/lines/a01/a01-030/a01-030-00.png
a01-030-01,121 said|Sir|Roy|had|no|right|to|delay|progress|in|the|talks|by,datasets/iam/lines/a01/a01-030/a01-030-01.png
a01-030-02,109 refusing|to|sit|round|the|conference|table|.,datasets/iam/lines/a01/a01-030/a01-030-02.png
a01-030u-00,76 Northern|Rhodesia|is|a|member|of|the|Federation|.,datasets/iam/lines/a01/a01-030u/a01-030u-00.png
a01-030u-00,60 Mr.|Macleod|was|not|at|the|week-end,datasets/iam/lines/a01/a01-030u/a01-030u-00.png
a01-030u-01,88 meeting|.,datasets/iam/lines/a01/a01-030u/a01-030u-01.png
a01-030u-00,93 But|he|told|M Ps|yesterday|:,datasets/iam/lines/a01/a01-030u/a01-030u-00.png
a01-030u-00,"74 ""|I",datasets/iam/lines/a01/a01-030u/a01-030u-00.png
a01-030u-01,"86 have|no|knowledge|of|secret|negotiations|.|""",datasets/iam/lines/a01/a01-030u/a01-030u-01.png
a01-030u-00,81 He|said|Britain|had|an|obligation|to|consult,datasets/iam/lines/a01/a01-030u/a01-030u-00.png
a01-030u-01,61 the|Federal|Government|.,datasets/iam/lines/a01/a01-030u/a01-030u-01.png
a01-030u-00,76 But|the|final,datasets/iam/lines/a01/a01-030u/a01-030u-00.png
a01-030u-01,73 decision|remained|with|the|British|Government|.,datasets/iam/lines/a01/a01-030u/a01-030u-01.png
